"","RecipeId","Quantity"
"1",2,2
"2",6,2
"3",7,2
"4",8,2
"5",9,6
"6",10,2
"7",11,2
"8",12,2
"9",13,2
"10",14,6
"11",15,2
"12",16,2
"13",17,2
"14",18,2
"15",19,6
"16",20,2
"17",21,2
"18",22,2
"19",23,2
"20",24,6
"21",25,2
"22",26,2
"23",27,2
"24",28,2
"25",29,6
"26",30,2
"27",31,2
"28",32,2
"29",33,2
"30",34,6
"31",35,2
"32",36,2
"33",37,2
"34",38,2
"35",39,6
"36",40,2
"37",41,2
"38",42,2
"39",43,2
"40",44,6
"41",45,2
"42",46,2
"43",47,2
"44",48,2
"45",49,6
"46",50,2
"47",51,2
"48",52,2
"49",53,2
"50",54,6
"51",55,2
"52",56,2
"53",57,2
"54",58,2
"55",59,6
"56",60,2
"57",61,2
"58",62,2
"59",63,2
"60",64,6
"61",65,2
"62",66,2
"63",67,2
"64",68,2
"65",69,6
"66",75,2
"67",76,2
"68",77,2
"69",78,2
"70",79,6
"71",80,0
"72",93,2
"73",94,2
"74",95,2
"75",96,2
"76",97,6
"77",98,0
"78",99,0
"79",100,0
"80",101,0
"81",102,2
"82",103,2
"83",104,2
"84",105,2
"85",106,6
"86",107,2
"87",108,2
"88",109,2
"89",110,2
"90",111,6
"91",112,2
"92",113,2
"93",114,2
"94",115,2
"95",116,6
"96",117,2
"97",118,2
"98",119,2
"99",120,2
"100",121,6
"101",161,2
"102",162,2
"103",163,2
"104",164,2
"105",165,6
"106",166,2
"107",167,2
"108",168,2
"109",169,2
"110",170,6
"111",171,2
"112",172,2
"113",173,2
"114",174,2
"115",175,6
"116",198,2
"117",199,2
"118",200,2
"119",201,2
"120",202,6
"121",203,2
"122",204,2
"123",205,2
"124",206,2
"125",207,2
"126",208,2
"127",209,2
"128",210,2
"129",211,6
"130",212,2
"131",213,2
"132",214,2
"133",215,2
"134",216,6
"135",217,0
"136",218,2
"137",219,2
"138",220,2
"139",221,2
"140",222,6
"141",223,2
"142",224,2
"143",225,2
"144",226,2
"145",227,6
"146",228,2
"147",229,2
"148",230,2
"149",231,2
"150",232,6
"151",233,2
"152",234,2
"153",235,2
"154",236,2
"155",237,6
"156",238,2
"157",239,2
"158",240,2
"159",241,2
"160",242,6
"161",243,2
"162",244,2
"163",245,2
"164",246,2
"165",247,6
"166",248,2
"167",249,2
"168",250,2
"169",251,2
"170",252,2
"171",253,2
"172",254,2
"173",255,2
"174",256,6
"175",257,2
"176",258,2
"177",259,2
"178",260,2
"179",261,6
"180",262,2
"181",263,2
"182",264,2
"183",265,2
"184",266,6
"185",267,2
"186",268,2
"187",269,2
"188",270,2
"189",271,6
"190",273,2
"191",274,2
"192",275,2
"193",276,2
"194",277,6
"195",282,2
"196",283,2
"197",284,2
"198",285,2
"199",286,6
"200",287,2
"201",288,2
"202",289,2
"203",290,2
"204",291,6
"205",295,2
"206",296,2
"207",297,2
"208",298,2
"209",299,6
"210",307,2
"211",308,2
"212",309,2
"213",310,2
"214",311,2
"215",312,2
"216",313,2
"217",314,2
"218",315,2
"219",316,2
"220",317,2
"221",318,2
"222",319,6
"223",320,2
"224",321,2
"225",322,2
"226",323,2
"227",324,2
"228",325,2
"229",326,2
"230",327,6
"231",329,2
"232",330,2
"233",331,2
"234",332,2
"235",333,6
"236",345,2
"237",346,2
"238",347,2
"239",348,2
"240",349,6
"241",350,2
"242",358,2
"243",359,2
"244",360,2
"245",361,2
"246",362,6
"247",363,2
"248",364,2
"249",365,2
"250",366,2
"251",368,2
"252",369,2
"253",370,2
"254",371,2
"255",372,6
"256",373,0
"257",374,2
"258",375,2
"259",376,2
"260",377,2
"261",378,2
"262",379,6
"263",380,0
"264",381,2
"265",386,2
"266",387,2
"267",388,2
"268",389,2
"269",390,6
"270",391,2
"271",392,2
"272",393,2
"273",394,2
"274",395,6
"275",396,2
"276",397,2
"277",398,2
"278",399,2
"279",400,6
"280",401,2
"281",402,2
"282",403,2
"283",404,2
"284",405,2
"285",406,6
"286",407,2
"287",408,2
"288",409,2
"289",410,2
"290",411,6
"291",412,2
"292",413,2
"293",414,2
"294",415,2
"295",416,6
"296",417,2
"297",418,2
"298",419,2
"299",420,2
"300",421,6
"301",422,2
"302",423,2
"303",424,2
"304",425,2
"305",426,6
"306",427,2
"307",428,2
"308",429,2
"309",430,2
"310",431,6
"311",432,2
"312",433,2
"313",434,2
"314",435,2
"315",436,6
"316",437,2
"317",438,2
"318",439,2
"319",440,2
"320",441,6
"321",442,2
"322",443,2
"323",444,2
"324",445,2
"325",446,2
"326",447,6
"327",448,2
"328",449,2
"329",450,2
"330",451,2
"331",452,6
"332",453,2
"333",454,2
"334",455,2
"335",456,2
"336",457,6
"337",468,2
"338",469,2
"339",470,2
"340",471,2
"341",472,6
"342",473,2
"343",630,2
"344",631,2
"345",632,2
"346",633,2
"347",634,6
"348",666,2
"349",667,2
"350",668,2
"351",669,6
"352",679,2
"353",680,2
"354",681,2
"355",682,6
"356",683,2
"357",687,0
"358",688,0
"359",689,0
"360",690,0
"361",696,2
"362",697,2
"363",698,2
"364",699,2
"365",700,6
"366",701,2
"367",704,6
"368",705,6
"369",706,2
"370",707,2
"371",708,18
"372",742,4
"373",757,2
"374",758,2
"375",759,2
"376",760,2
"377",761,6
"378",766,2
"379",767,2
"380",768,2
"381",769,2
"382",770,6
"383",774,2
"384",775,2
"385",776,2
"386",777,2
"387",778,6
"388",784,2
"389",785,2
"390",786,2
"391",787,2
"392",788,6
"393",789,2
"394",794,2
"395",795,2
"396",796,2
"397",797,2
"398",798,2
"399",799,2
"400",800,2
"401",801,6
"402",802,2
"403",822,2
"404",823,2
"405",824,0
"406",825,2
"407",826,6
"408",827,6
"409",828,2
"410",829,2
"411",830,2
"412",831,2
"413",832,6
"414",833,2
"415",836,2
"416",837,2
"417",838,2
"418",839,2
"419",840,6
"420",844,2
"421",845,2
"422",846,2
"423",847,2
"424",848,6
"425",849,0
"426",850,2
"427",878,2
"428",879,2
"429",880,2
"430",881,2
"431",882,6
"432",896,2
"433",897,2
"434",898,2
"435",899,2
"436",900,6
"437",901,2
"438",902,2
"439",903,2
"440",904,2
"441",905,6
"442",906,2
"443",907,2
"444",908,2
"445",909,2
"446",910,6
"447",913,2
"448",914,2
"449",915,2
"450",916,2
"451",917,6
"452",918,2
"453",919,2
"454",920,2
"455",921,2
"456",922,6
"457",923,2
"458",924,2
"459",925,2
"460",926,2
"461",927,6
"462",935,2
"463",936,2
"464",937,2
"465",938,2
"466",939,6
"467",944,0
"468",945,0
"469",946,0
"470",959,12
"471",960,24
"472",961,10
"473",976,10
"474",977,10
"475",978,10
"476",1043,10
"477",1044,10
"478",1049,2
"479",1050,2
"480",1051,2
"481",1052,2
"482",1053,6
"483",1054,0
"484",1055,2
"485",1071,0
"486",1072,2
"487",1075,0
"488",1078,0
"489",1079,2
"490",1080,0
"491",1081,2
"492",1093,2
"493",1094,2
"494",1095,2
"495",1096,2
"496",1097,6
"497",1098,0
"498",1103,2
"499",1104,2
"500",1105,2
"501",1106,2
"502",1107,6
"503",1110,2
"504",1111,2
"505",1112,2
"506",1113,2
"507",1114,6
"508",1115,0
"509",1118,2
"510",1119,2
"511",1120,2
"512",1121,2
"513",1122,6
"514",1125,2
"515",1126,2
"516",1127,2
"517",1128,2
"518",1129,6
"519",1141,2
"520",1142,2
"521",1143,2
"522",1144,2
"523",1145,6
"524",1146,2
"525",1149,2
"526",1150,2
"527",1151,2
"528",1152,2
"529",1153,6
"530",1162,2
"531",1163,2
"532",1164,2
"533",1165,2
"534",1166,6
"535",1172,2
"536",1173,2
"537",1174,2
"538",1175,2
"539",1176,6
"540",1179,2
"541",1180,2
"542",1181,2
"543",1182,2
"544",1183,6
"545",1184,0
"546",1185,2
"547",1190,0
"548",1191,2
"549",1193,0
"550",1194,2
"551",1195,2
"552",1196,2
"553",1197,2
"554",1198,6
"555",1199,0
"556",1200,2
"557",1201,2
"558",1202,2
"559",1203,2
"560",1204,2
"561",1205,6
"562",1213,2
"563",1214,2
"564",1215,2
"565",1216,2
"566",1217,6
"567",1220,5
"568",1229,2
"569",1230,2
"570",1231,2
"571",1232,2
"572",1233,6
"573",1236,0
"574",1237,2
"575",1238,2
"576",1239,2
"577",1240,2
"578",1241,6
"579",1244,2
"580",1245,2
"581",1246,2
"582",1247,2
"583",1248,6
"584",1249,2
"585",1250,2
"586",1251,2
"587",1252,2
"588",1253,6
"589",1256,2
"590",1257,2
"591",1258,2
"592",1259,2
"593",1260,6
"594",1263,2
"595",1264,2
"596",1265,2
"597",1266,2
"598",1267,6
"599",1270,2
"600",1271,2
"601",1272,2
"602",1273,2
"603",1274,6
"604",1277,0
"605",1278,2
"606",1282,2
"607",1283,2
"608",1284,2
"609",1285,2
"610",1286,6
"611",1289,2
"612",1290,2
"613",1291,2
"614",1292,2
"615",1293,6
"616",1294,2
"617",1309,2
"618",1310,2
"619",1311,2
"620",1312,2
"621",1313,6
"622",1314,2
"623",1317,2
"624",1318,2
"625",1319,2
"626",1320,2
"627",1321,6
"628",1322,2
"629",1325,2
"630",1326,2
"631",1327,2
"632",1328,2
"633",1329,6
"634",1330,0
"635",1331,2
"636",1334,2
"637",1335,2
"638",1336,2
"639",1337,2
"640",1338,6
"641",1339,2
"642",1342,2
"643",1343,2
"644",1344,2
"645",1345,2
"646",1346,6
"647",1347,0
"648",1348,2
"649",1371,0
"650",1372,2
"651",1373,2
"652",1374,2
"653",1375,2
"654",1376,6
"655",1390,2
"656",1391,2
"657",1392,2
"658",1393,2
"659",1394,6
"660",1397,2
"661",1398,2
"662",1399,2
"663",1400,2
"664",1401,6
"665",1404,2
"666",1405,2
"667",1406,2
"668",1407,2
"669",1408,6
"670",1415,2
"671",1416,2
"672",1417,2
"673",1418,2
"674",1419,6
"675",1420,0
"676",1421,2
"677",1424,2
"678",1425,2
"679",1426,2
"680",1427,6
"681",1428,0
"682",1429,2
"683",1432,2
"684",1433,2
"685",1434,2
"686",1435,2
"687",1436,6
"688",1437,0
"689",1438,2
"690",1444,2
"691",1445,2
"692",1446,2
"693",1447,2
"694",1448,6
"695",1449,0
"696",1450,2
"697",1456,2
"698",1457,2
"699",1458,2
"700",1459,2
"701",1460,6
"702",1461,0
"703",1462,2
"704",1468,2
"705",1469,2
"706",1470,2
"707",1471,2
"708",1472,6
"709",1473,0
"710",1474,2
"711",1475,2
"712",1476,2
"713",1477,2
"714",1478,2
"715",1479,6
"716",1484,2
"717",1485,2
"718",1486,2
"719",1487,2
"720",1488,6
"721",1489,0
"722",1490,2
"723",1493,2
"724",1494,2
"725",1495,2
"726",1496,2
"727",1497,6
"728",1500,2
"729",1501,2
"730",1502,2
"731",1503,2
"732",1504,6
"733",1507,2
"734",1508,2
"735",1509,2
"736",1510,2
"737",1511,6
"738",1512,0
"739",1515,2
"740",1516,2
"741",1517,2
"742",1518,2
"743",1519,6
"744",1520,0
"745",1521,2
"746",1526,2
"747",1527,2
"748",1528,2
"749",1529,2
"750",1530,6
"751",1533,2
"752",1534,2
"753",1535,2
"754",1536,2
"755",1537,6
"756",1538,0
"757",1543,0
"758",1544,2
"759",1545,2
"760",1546,2
"761",1547,2
"762",1548,6
"763",1549,0
"764",1550,2
"765",1553,2
"766",1554,2
"767",1555,2
"768",1556,2
"769",1557,6
"770",1558,0
"771",1559,2
"772",1562,2
"773",1563,2
"774",1564,2
"775",1565,2
"776",1566,6
"777",1567,0
"778",1568,2
"779",1573,2
"780",1574,2
"781",1575,2
"782",1576,2
"783",1577,6
"784",1578,0
"785",1583,2
"786",1675,2
"787",1676,2
"788",1677,2
"789",1678,2
"790",1679,2
"791",1680,2
"792",1681,2
"793",1682,2
"794",1683,2
"795",1684,2
"796",1685,2
"797",1686,2
"798",1687,2
"799",1688,2
"800",1689,2
"801",1690,2
"802",1691,2
"803",1692,2
"804",1693,2
"805",1694,2
"806",1695,2
"807",1696,6
"808",1699,2
"809",1714,2
"810",1715,2
"811",1716,2
"812",1717,2
"813",1718,6
"814",1719,0
"815",1720,2
"816",1721,2
"817",1722,2
"818",1723,2
"819",1724,2
"820",1725,2
"821",1726,6
"822",1727,0
"823",1728,2
"824",1729,2
"825",1730,2
"826",1731,2
"827",1732,2
"828",1733,2
"829",1734,6
"830",1735,0
"831",1736,2
"832",1737,2
"833",1738,2
"834",1739,2
"835",1740,2
"836",1741,2
"837",1742,6
"838",1743,0
"839",1744,2
"840",1745,2
"841",1750,2
"842",1751,2
"843",1752,2
"844",1753,2
"845",1754,6
"846",1755,2
"847",1756,2
"848",1757,2
"849",1758,2
"850",1759,6
"851",1760,0
"852",1761,2
"853",1762,2
"854",1768,2
"855",1769,2
"856",1770,2
"857",1771,2
"858",1772,6
"859",1777,2
"860",1778,5
"861",1784,2
"862",1785,2
"863",1786,2
"864",1787,2
"865",1788,0
"866",1789,2
"867",1795,2
"868",1796,2
"869",1797,2
"870",1798,2
"871",1799,2
"872",1800,6
"873",1802,2
"874",1803,2
"875",1804,2
"876",1805,2
"877",1806,2
"878",1807,6
"879",1815,1
"880",1816,1
"881",1817,1
"882",1818,1
"883",1819,1
"884",1820,10
"885",1823,2
"886",1824,2
"887",1825,2
"888",1826,6
"889",1827,2
"890",1828,2
"891",1831,12
"892",1832,10
"893",1834,6
"894",1835,2
"895",1836,2
"896",1837,2
"897",1838,2
"898",1839,6
"899",1842,2
"900",1843,2
"901",1844,2
"902",1845,2
"903",1846,2
"904",1847,6
"905",1848,0
"906",1849,2
"907",1854,2
"908",1867,2
"909",1884,2
"910",1885,2
"911",1886,2
"912",1887,2
"913",1888,2
"914",1889,2
"915",1890,2
"916",1891,2
"917",1894,0
"918",1895,2
"919",1896,2
"920",1897,2
"921",1898,2
"922",1899,6
"923",1902,2
"924",1903,2
"925",1904,2
"926",1905,2
"927",1906,6
"928",1909,2
"929",1910,2
"930",1911,2
"931",1912,2
"932",1913,6
"933",1916,2
"934",1917,2
"935",1918,2
"936",1919,2
"937",1920,6
"938",1921,2
"939",1930,2
"940",1931,2
"941",1932,2
"942",1933,2
"943",1934,2
"944",1935,2
"945",1939,2
"946",1940,2
"947",1941,2
"948",1942,2
"949",1943,6
"950",1956,2
"951",1960,2
"952",1961,2
"953",1962,2
"954",1963,2
"955",1964,2
"956",1969,2
"957",1972,2
"958",1973,2
"959",1974,2
"960",1975,2
"961",1976,2
"962",1977,6
"963",1980,2
"964",1981,2
"965",1982,2
"966",1983,2
"967",1984,2
"968",1985,6
"969",1988,2
"970",1989,2
"971",1990,2
"972",1991,2
"973",1992,6
"974",1995,2
"975",1996,2
"976",1997,2
"977",1998,2
"978",1999,6
"979",2002,2
"980",2003,2
"981",2004,2
"982",2005,2
"983",2006,0
"984",2007,2
"985",2008,6
"986",2021,2
"987",2022,2
"988",2023,2
"989",2024,2
"990",2025,6
"991",2237,24
"992",2241,2
"993",2242,2
"994",2243,2
"995",2244,2
"996",2245,6
"997",2251,2
"998",2252,2
"999",2253,2
"1000",2254,2
"1001",2255,6
"1002",2314,10
"1003",2315,10
"1004",2316,10
"1005",2327,2
"1006",2445,2
"1007",2530,6
"1008",2610,2
"1009",2690,2
"1010",2691,2
"1011",2692,2
"1012",2693,2
"1013",2694,2
"1014",2695,2
"1015",2696,2
"1016",2697,2
"1017",2698,2
"1018",2699,2
"1019",2700,2
"1020",2701,2
"1021",2702,2
"1022",2703,2
"1023",2704,2
"1024",2705,2
"1025",2706,2
"1026",2707,2
"1027",2708,2
"1028",2709,2
"1029",2710,2
"1030",2711,2
"1031",2712,2
"1032",2713,2
"1033",2714,2
"1034",2731,2
"1035",2732,2
"1036",2733,2
"1037",2734,2
"1038",2735,2
"1039",2736,2
"1040",2737,2
"1041",2738,2
"1042",2739,2
"1043",2740,2
"1044",2741,2
"1045",2742,2
"1046",2743,2
"1047",2744,2
"1048",2745,2
"1049",2746,2
"1050",2747,2
"1051",2764,2
"1052",2765,2
"1053",2766,2
"1054",2767,2
"1055",2768,6
"1056",2784,2
"1057",2785,2
"1058",2786,2
"1059",2787,2
"1060",2788,6
"1061",2794,2
"1062",2795,2
"1063",2796,2
"1064",2797,2
"1065",2798,6
"1066",2802,2
"1067",2812,2
"1068",2813,2
"1069",2814,2
"1070",2815,2
"1071",2816,6
"1072",2822,2
"1073",2823,2
"1074",2824,2
"1075",2825,2
"1076",2826,6
"1077",2832,2
"1078",2833,2
"1079",2834,2
"1080",2835,2
"1081",2836,6
"1082",2847,2
"1083",2848,2
"1084",2849,2
"1085",2850,6
"1086",2856,2
"1087",2866,2
"1088",2868,2
"1089",2869,2
"1090",2870,2
"1091",2871,2
"1092",2872,2
"1093",2873,2
"1094",2874,2
"1095",2875,6
"1096",2876,2
"1097",2877,2
"1098",2878,2
"1099",2879,2
"1100",2880,2
"1101",2881,2
"1102",2882,2
"1103",2883,2
"1104",2884,2
"1105",2885,2
"1106",2886,2
"1107",2888,2
"1108",2889,2
"1109",2890,2
"1110",2891,2
"1111",2892,2
"1112",2893,2
"1113",2894,2
"1114",2895,2
"1115",2896,2
"1116",2897,2
"1117",2898,2
"1118",2899,2
"1119",2900,2
"1120",2901,2
"1121",2914,2
"1122",2915,2
"1123",3176,2
"1124",3177,2
"1125",3178,2
"1126",3179,2
"1127",3180,2
"1128",3181,2
"1129",3182,2
"1130",3207,2
"1131",3208,2
"1132",3209,2
"1133",3210,2
"1134",3211,2
"1135",3212,0
"1136",3213,2
"1137",3214,6
"1138",3227,2
"1139",3228,2
"1140",3229,0
"1141",3230,2
"1142",3231,2
"1143",3232,0
"1144",3233,2
"1145",3234,2
"1146",3235,0
"1147",3236,2
"1148",3237,2
"1149",3238,0
"1150",3239,2
"1151",3240,2
